Alloy_ID,UTS,YS,EL,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
1,198.2,89.53,8.21,0.9043904,0.0526138,0.0000001,0
3,207.32,95.78,11.3,0.9042818,0.0492088,0.0000001,0.0035
6,211.24,92.28,12.63,0.874743,0.0477976,0.0000742,0.01
8,198.91,89.36,13.96,0.6510342,0.0475648,0.0006866,0.05
10,199.52,92.71,13.47,0.5078094,0.0472962,0.0014639,0.1
11,200.48,91.73,12.89,0.5080192,0.0471753,0.0018509,0.125
4,209.18,98.47,12.56,0.9042354,0.0477609,0.0000001,0.005
5,208.82,96.67,11.86,0.8890509,0.0477209,0.000037,0.0075
9,201.32,93.17,13.01,0.5260448,0.0473967,0.0010394,0.073
7,203.21,91,12.89,0.7883727,0.0476539,0.0003066,0.025
