Alloy,YS,UTS,EL,PH_Al,PH_Al(2),PH_Si,PH_AlSc2Si2,EL_Si,EL_Mg
308,130,203,3,0.64243,0.30126,0.03755,0.00663,5.5,0.1
319,145,195,3,0.60414,0.32479,0.04048,0.00716,6,0.1
324,130,217,5,0.49382,0.38145,0.04781,0.008,7.5,0.55
333,151,247,3,0.36965,0.51508,0.06427,0.01126,9,0.2
356,144,189,6,0.53017,0.37781,0.04725,0.00811,7,0.3
357,123,203,7,0.53249,0.3527,0.04421,0.0074,7,0.5
443,82,170,11,0.64161,0.29527,0.03674,0.00657,5.5,0.05
A444,96,175,14,0.52761,0.39854,0.04957,0.00888,7,0.05
355,125.49,214.89,8.69,0.68266,0.21862,0.02743,0.00451,5,0.5
A356,134.64,230.52,6.87,0.5395,0.35502,0.04448,0.00749,6.9,0.44
A357,141.79,235.51,5.94,0.53373,0.33872,0.04248,0.00703,7,0.6
A360,137.57,242.88,5.03,0.33347,0.52596,0.06585,0.01118,9.5,0.5
A380,99.93,201.52,7.33,0.40872,0.51499,6.39E-02,0.01155,8.5,0
A413,98.85,213.58,7.8,0.1167,0.76344,0.09474,0.01714,12,0
